YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,CLASS
2007,1389.31,10.07,10.87,27.14,65.1,6.53,1.28,1.31,1.09,0.71,0
2008,1568.57,11.37,12.27,28.65,83.32,8.36,1.35,1.39,1.27,0.76,0
2009,1365.42,9.89,10.68,28.08,57.56,5.77,1.21,1.24,1,0.67,0
2010,1455.5,10.55,11.39,28.15,71.6,7.18,1.35,1.38,1.15,0.74,1
2011,1670.3,12.1,13.07,30.19,88.79,8.9,1.5,1.54,1.34,0.85,1
2012,1791.09,12.98,14.01,31.75,96.88,9.72,1.57,1.62,1.4,0.88,1
2013,1696.2,12.29,13.27,32.86,92.72,9.3,1.54,1.59,1.35,0.87,0
2014,1709.72,12.39,13.38,32.63,85.99,8.62,1.48,1.54,1.29,0.86,1
2015,1605.41,11.63,12.56,32.52,70.58,7.08,1.35,1.42,1.15,0.79,1
2016,1524.6,11.05,11.93,31.99,63.76,6.39,1.3,1.36,1.11,0.71,0
2017,1682.01,12.19,13.16,31.67,74.12,7.43,1.38,1.44,1.23,0.74,0
2018,1828.14,13.25,14.3,32.96,91.16,9.14,1.5,1.57,1.44,0.82,0
